t1,t2,N1,N2,rho2,PP,A1_m2,A2_m2,A1_A2_ratio,rho1,rho1_continuous,expansion_ratio,total_cycle_days,delta_t
10,14,10,70,20,16,10.0,70.0,0.14285714285714285,100.0,100.0,5.0,24,2
10,14,10,70,21,16,10.0,70.0,0.14285714285714285,105.0,105.0,5.0,24,2
10,14,10,70,22,16,10.0,70.0,0.14285714285714285,110.0,110.0,5.0,24,2
10,14,10,70,23,16,10.0,70.0,0.14285714285714285,115.0,115.0,5.0,24,2
10,14,10,70,24,16,10.0,70.0,0.14285714285714285,120.0,120.0,5.0,24,2
10,14,10,70,25,16,10.0,70.0,0.14285714285714285,125.0,125.0,5.0,24,2
10,14,10,70,26,16,10.0,70.0,0.14285714285714285,130.0,130.0,5.0,24,2
10,14,10,70,27,16,10.0,70.0,0.14285714285714285,135.0,135.0,5.0,24,2
10,14,10,70,28,16,10.0,70.0,0.14285714285714285,140.0,140.0,5.0,24,2
10,15,8,72,20,16,8.0,72.0,0.1111111111111111,120.0,120.0,6.0,25,5
10,15,8,72,21,16,8.0,72.0,0.1111111111111111,126.0,126.0,6.0,25,5
10,15,8,72,22,16,8.0,72.0,0.1111111111111111,132.0,132.0,6.0,25,5
10,15,8,72,23,16,8.0,72.0,0.1111111111111111,138.0,138.0,6.0,25,5
10,15,8,72,24,16,8.0,72.0,0.1111111111111111,144.0,144.0,6.0,25,5
10,15,14,66,28,16,14.0,66.0,0.21212121212121213,88.0,88.0,3.142857142857143,25,5
10,15,14,66,35,16,14.0,66.0,0.21212121212121213,110.0,110.0,3.142857142857143,25,5
10,15,14,66,42,16,14.0,66.0,0.21212121212121213,132.0,132.0,3.142857142857143,25,5
12,12,12,68,21,16,12.0,68.0,0.17647058823529413,119.0,119.0,5.666666666666667,24,12
12,12,12,68,24,16,12.0,68.0,0.17647058823529413,136.0,136.0,5.666666666666667,24,12
12,12,13,67,26,16,13.0,67.0,0.19402985074626866,134.0,134.0,5.153846153846154,24,12
12,12,14,66,21,16,14.0,66.0,0.21212121212121213,99.0,99.0,4.714285714285714,24,12
12,12,14,66,28,16,14.0,66.0,0.21212121212121213,132.0,132.0,4.714285714285714,24,12
12,12,15,65,21,16,15.0,65.0,0.23076923076923078,91.0,91.0,4.333333333333333,24,12
12,12,15,65,24,16,15.0,65.0,0.23076923076923078,104.0,104.0,4.333333333333333,24,12
12,12,15,65,27,16,15.0,65.0,0.23076923076923078,117.0,117.0,4.333333333333333,24,12
12,12,15,65,30,16,15.0,65.0,0.23076923076923078,130.0,130.0,4.333333333333333,24,12
12,12,15,65,33,16,15.0,65.0,0.23076923076923078,143.0,143.0,4.333333333333333,24,12
12,12,16,64,20,16,16.0,64.0,0.25,80.0,80.0,4.0,24,12
12,12,16,64,21,16,16.0,64.0,0.25,84.0,84.0,4.0,24,12
12,12,16,64,22,16,16.0,64.0,0.25,88.0,88.0,4.0,24,12
12,12,16,64,23,16,16.0,64.0,0.25,92.0,92.0,4.0,24,12
12,12,16,64,24,16,16.0,64.0,0.25,96.0,96.0,4.0,24,12
12,12,16,64,25,16,16.0,64.0,0.25,100.0,100.0,4.0,24,12
12,12,16,64,26,16,16.0,64.0,0.25,104.0,104.0,4.0,24,12
12,12,16,64,27,16,16.0,64.0,0.25,108.0,108.0,4.0,24,12
12,12,16,64,28,16,16.0,64.0,0.25,112.0,112.0,4.0,24,12
12,12,16,64,29,16,16.0,64.0,0.25,116.0,116.0,4.0,24,12
12,12,16,64,30,16,16.0,64.0,0.25,120.0,120.0,4.0,24,12
12,12,16,64,31,16,16.0,64.0,0.25,124.0,124.0,4.0,24,12
12,12,16,64,32,16,16.0,64.0,0.25,128.0,128.0,4.0,24,12
12,12,16,64,33,16,16.0,64.0,0.25,132.0,132.0,4.0,24,12
12,12,16,64,34,16,16.0,64.0,0.25,136.0,136.0,4.0,24,12
12,12,16,64,35,16,16.0,64.0,0.25,140.0,140.0,4.0,24,12
12,12,16,64,36,16,16.0,64.0,0.25,144.0,144.0,4.0,24,12
12,12,17,63,34,16,17.0,63.0,0.2698412698412698,126.0,126.0,3.7058823529411766,24,12
12,12,18,62,27,16,18.0,62.0,0.2903225806451613,93.0,93.0,3.4444444444444446,24,12
12,12,18,62,36,16,18.0,62.0,0.2903225806451613,124.0,124.0,3.4444444444444446,24,12
12,12,19,61,38,16,19.0,61.0,0.3114754098360656,122.0,122.0,3.210526315789474,24,12
12,12,20,60,24,16,20.0,60.0,0.3333333333333333,72.0,72.0,3.0,24,12
12,12,20,60,25,16,20.0,60.0,0.3333333333333333,75.0,75.0,3.0,24,12
12,12,20,60,26,16,20.0,60.0,0.3333333333333333,78.0,78.0,3.0,24,12
12,12,20,60,27,16,20.0,60.0,0.3333333333333333,81.0,81.0,3.0,24,12
12,12,20,60,28,16,20.0,60.0,0.3333333333333333,84.0,84.0,3.0,24,12
12,12,20,60,29,16,20.0,60.0,0.3333333333333333,87.0,87.0,3.0,24,12
12,12,20,60,30,16,20.0,60.0,0.3333333333333333,90.0,90.0,3.0,24,12
12,12,20,60,31,16,20.0,60.0,0.3333333333333333,93.0,93.0,3.0,24,12
12,12,20,60,32,16,20.0,60.0,0.3333333333333333,96.0,96.0,3.0,24,12
12,12,20,60,33,16,20.0,60.0,0.3333333333333333,99.0,99.0,3.0,24,12
12,12,20,60,34,16,20.0,60.0,0.3333333333333333,102.0,102.0,3.0,24,12
12,12,20,60,35,16,20.0,60.0,0.3333333333333333,105.0,105.0,3.0,24,12
12,12,20,60,36,16,20.0,60.0,0.3333333333333333,108.0,108.0,3.0,24,12
12,12,20,60,37,16,20.0,60.0,0.3333333333333333,111.0,111.0,3.0,24,12
12,12,20,60,38,16,20.0,60.0,0.3333333333333333,114.0,114.0,3.0,24,12
12,12,20,60,39,16,20.0,60.0,0.3333333333333333,117.0,117.0,3.0,24,12
12,12,20,60,40,16,20.0,60.0,0.3333333333333333,120.0,120.0,3.0,24,12
12,12,20,60,41,16,20.0,60.0,0.3333333333333333,123.0,123.0,3.0,24,12
12,12,20,60,42,16,20.0,60.0,0.3333333333333333,126.0,126.0,3.0,24,12
12,12,20,60,43,16,20.0,60.0,0.3333333333333333,129.0,129.0,3.0,24,12
12,12,20,60,44,16,20.0,60.0,0.3333333333333333,132.0,132.0,3.0,24,12
12,12,20,60,45,16,20.0,60.0,0.3333333333333333,135.0,135.0,3.0,24,12
12,12,20,60,46,16,20.0,60.0,0.3333333333333333,138.0,138.0,3.0,24,12
12,12,20,60,47,16,20.0,60.0,0.3333333333333333,141.0,141.0,3.0,24,12
12,12,20,60,48,16,20.0,60.0,0.3333333333333333,144.0,144.0,3.0,24,12
12,16,12,68,20,16,12.0,68.0,0.17647058823529413,85.0,85.0,4.25,28,4
12,16,12,68,24,16,12.0,68.0,0.17647058823529413,102.0,102.0,4.25,28,4
12,16,12,68,28,16,12.0,68.0,0.17647058823529413,119.0,119.0,4.25,28,4
12,16,12,68,32,16,12.0,68.0,0.17647058823529413,136.0,136.0,4.25,28,4
12,17,12,68,20,16,12.0,68.0,0.17647058823529413,80.0,80.0,4.0,29,1
12,17,12,68,21,16,12.0,68.0,0.17647058823529413,84.0,84.0,4.0,29,1
12,17,12,68,22,16,12.0,68.0,0.17647058823529413,88.0,88.0,4.0,29,1
12,17,12,68,23,16,12.0,68.0,0.17647058823529413,92.0,92.0,4.0,29,1
12,17,12,68,24,16,12.0,68.0,0.17647058823529413,96.0,96.0,4.0,29,1
12,17,12,68,25,16,12.0,68.0,0.17647058823529413,100.0,100.0,4.0,29,1
12,17,12,68,26,16,12.0,68.0,0.17647058823529413,104.0,104.0,4.0,29,1
12,17,12,68,27,16,12.0,68.0,0.17647058823529413,108.0,108.0,4.0,29,1
12,17,12,68,28,16,12.0,68.0,0.17647058823529413,112.0,112.0,4.0,29,1
12,17,12,68,29,16,12.0,68.0,0.17647058823529413,116.0,116.0,4.0,29,1
12,17,12,68,30,16,12.0,68.0,0.17647058823529413,120.0,120.0,4.0,29,1
12,17,12,68,31,16,12.0,68.0,0.17647058823529413,124.0,124.0,4.0,29,1
12,17,12,68,32,16,12.0,68.0,0.17647058823529413,128.0,128.0,4.0,29,1
12,17,12,68,33,16,12.0,68.0,0.17647058823529413,132.0,132.0,4.0,29,1
12,17,12,68,34,16,12.0,68.0,0.17647058823529413,136.0,136.0,4.0,29,1
12,17,12,68,35,16,12.0,68.0,0.17647058823529413,140.0,140.0,4.0,29,1
12,17,12,68,36,16,12.0,68.0,0.17647058823529413,144.0,144.0,4.0,29,1
12,18,8,72,20,16,8.0,72.0,0.1111111111111111,120.0,120.0,6.0,30,6
12,18,8,72,21,16,8.0,72.0,0.1111111111111111,126.0,126.0,6.0,30,6
12,18,8,72,22,16,8.0,72.0,0.1111111111111111,132.0,132.0,6.0,30,6
12,18,8,72,23,16,8.0,72.0,0.1111111111111111,138.0,138.0,6.0,30,6
12,18,8,72,24,16,8.0,72.0,0.1111111111111111,144.0,144.0,6.0,30,6
12,18,14,66,28,16,14.0,66.0,0.21212121212121213,88.0,88.0,3.142857142857143,30,6
12,18,14,66,35,16,14.0,66.0,0.21212121212121213,110.0,110.0,3.142857142857143,30,6
12,18,14,66,42,16,14.0,66.0,0.21212121212121213,132.0,132.0,3.142857142857143,30,6
13,13,12,68,21,16,12.0,68.0,0.17647058823529413,119.0,119.0,5.666666666666667,26,13
13,13,12,68,24,16,12.0,68.0,0.17647058823529413,136.0,136.0,5.666666666666667,26,13
13,13,13,67,26,16,13.0,67.0,0.19402985074626866,134.0,134.0,5.153846153846154,26,13
13,13,14,66,21,16,14.0,66.0,0.21212121212121213,99.0,99.0,4.714285714285714,26,13
13,13,14,66,28,16,14.0,66.0,0.21212121212121213,132.0,132.0,4.714285714285714,26,13
13,13,15,65,21,16,15.0,65.0,0.23076923076923078,91.0,91.0,4.333333333333333,26,13
13,13,15,65,24,16,15.0,65.0,0.23076923076923078,104.0,104.0,4.333333333333333,26,13
13,13,15,65,27,16,15.0,65.0,0.23076923076923078,117.0,117.0,4.333333333333333,26,13
13,13,15,65,30,16,15.0,65.0,0.23076923076923078,130.0,130.0,4.333333333333333,26,13
13,13,15,65,33,16,15.0,65.0,0.23076923076923078,143.0,143.0,4.333333333333333,26,13
13,13,16,64,20,16,16.0,64.0,0.25,80.0,80.0,4.0,26,13
13,13,16,64,21,16,16.0,64.0,0.25,84.0,84.0,4.0,26,13
13,13,16,64,22,16,16.0,64.0,0.25,88.0,88.0,4.0,26,13
13,13,16,64,23,16,16.0,64.0,0.25,92.0,92.0,4.0,26,13
13,13,16,64,24,16,16.0,64.0,0.25,96.0,96.0,4.0,26,13
13,13,16,64,25,16,16.0,64.0,0.25,100.0,100.0,4.0,26,13
13,13,16,64,26,16,16.0,64.0,0.25,104.0,104.0,4.0,26,13
13,13,16,64,27,16,16.0,64.0,0.25,108.0,108.0,4.0,26,13
13,13,16,64,28,16,16.0,64.0,0.25,112.0,112.0,4.0,26,13
13,13,16,64,29,16,16.0,64.0,0.25,116.0,116.0,4.0,26,13
13,13,16,64,30,16,16.0,64.0,0.25,120.0,120.0,4.0,26,13
13,13,16,64,31,16,16.0,64.0,0.25,124.0,124.0,4.0,26,13
13,13,16,64,32,16,16.0,64.0,0.25,128.0,128.0,4.0,26,13
13,13,16,64,33,16,16.0,64.0,0.25,132.0,132.0,4.0,26,13
13,13,16,64,34,16,16.0,64.0,0.25,136.0,136.0,4.0,26,13
13,13,16,64,35,16,16.0,64.0,0.25,140.0,140.0,4.0,26,13
13,13,16,64,36,16,16.0,64.0,0.25,144.0,144.0,4.0,26,13
13,13,17,63,34,16,17.0,63.0,0.2698412698412698,126.0,126.0,3.7058823529411766,26,13
13,13,18,62,27,16,18.0,62.0,0.2903225806451613,93.0,93.0,3.4444444444444446,26,13
13,13,18,62,36,16,18.0,62.0,0.2903225806451613,124.0,124.0,3.4444444444444446,26,13
13,13,19,61,38,16,19.0,61.0,0.3114754098360656,122.0,122.0,3.210526315789474,26,13
13,13,20,60,24,16,20.0,60.0,0.3333333333333333,72.0,72.0,3.0,26,13
13,13,20,60,25,16,20.0,60.0,0.3333333333333333,75.0,75.0,3.0,26,13
13,13,20,60,26,16,20.0,60.0,0.3333333333333333,78.0,78.0,3.0,26,13
13,13,20,60,27,16,20.0,60.0,0.3333333333333333,81.0,81.0,3.0,26,13
13,13,20,60,28,16,20.0,60.0,0.3333333333333333,84.0,84.0,3.0,26,13
13,13,20,60,29,16,20.0,60.0,0.3333333333333333,87.0,87.0,3.0,26,13
13,13,20,60,30,16,20.0,60.0,0.3333333333333333,90.0,90.0,3.0,26,13
13,13,20,60,31,16,20.0,60.0,0.3333333333333333,93.0,93.0,3.0,26,13
13,13,20,60,32,16,20.0,60.0,0.3333333333333333,96.0,96.0,3.0,26,13
13,13,20,60,33,16,20.0,60.0,0.3333333333333333,99.0,99.0,3.0,26,13
13,13,20,60,34,16,20.0,60.0,0.3333333333333333,102.0,102.0,3.0,26,13
13,13,20,60,35,16,20.0,60.0,0.3333333333333333,105.0,105.0,3.0,26,13
13,13,20,60,36,16,20.0,60.0,0.3333333333333333,108.0,108.0,3.0,26,13
13,13,20,60,37,16,20.0,60.0,0.3333333333333333,111.0,111.0,3.0,26,13
13,13,20,60,38,16,20.0,60.0,0.3333333333333333,114.0,114.0,3.0,26,13
13,13,20,60,39,16,20.0,60.0,0.3333333333333333,117.0,117.0,3.0,26,13
13,13,20,60,40,16,20.0,60.0,0.3333333333333333,120.0,120.0,3.0,26,13
13,13,20,60,41,16,20.0,60.0,0.3333333333333333,123.0,123.0,3.0,26,13
13,13,20,60,42,16,20.0,60.0,0.3333333333333333,126.0,126.0,3.0,26,13
13,13,20,60,43,16,20.0,60.0,0.3333333333333333,129.0,129.0,3.0,26,13
13,13,20,60,44,16,20.0,60.0,0.3333333333333333,132.0,132.0,3.0,26,13
13,13,20,60,45,16,20.0,60.0,0.3333333333333333,135.0,135.0,3.0,26,13
13,13,20,60,46,16,20.0,60.0,0.3333333333333333,138.0,138.0,3.0,26,13
13,13,20,60,47,16,20.0,60.0,0.3333333333333333,141.0,141.0,3.0,26,13
13,13,20,60,48,16,20.0,60.0,0.3333333333333333,144.0,144.0,3.0,26,13
14,11,14,66,20,16,14.0,66.0,0.21212121212121213,120.0,120.0,6.0,25,1
14,11,14,66,21,16,14.0,66.0,0.21212121212121213,126.0,126.0,6.0,25,1
14,11,14,66,22,16,14.0,66.0,0.21212121212121213,132.0,132.0,6.0,25,1
14,11,14,66,23,16,14.0,66.0,0.21212121212121213,138.0,138.0,6.0,25,1
14,11,14,66,24,16,14.0,66.0,0.21212121212121213,144.0,144.0,6.0,25,1
14,12,14,66,20,16,14.0,66.0,0.21212121212121213,110.0,110.0,5.5,26,2
14,12,14,66,22,16,14.0,66.0,0.21212121212121213,121.0,121.0,5.5,26,2
14,12,14,66,24,16,14.0,66.0,0.21212121212121213,132.0,132.0,5.5,26,2
14,12,14,66,26,16,14.0,66.0,0.21212121212121213,143.0,143.0,5.5,26,2
14,14,12,68,21,16,12.0,68.0,0.17647058823529413,119.0,119.0,5.666666666666667,28,14
14,14,12,68,24,16,12.0,68.0,0.17647058823529413,136.0,136.0,5.666666666666667,28,14
14,14,13,67,26,16,13.0,67.0,0.19402985074626866,134.0,134.0,5.153846153846154,28,14
14,14,14,66,21,16,14.0,66.0,0.21212121212121213,99.0,99.0,4.714285714285714,28,14
14,14,14,66,28,16,14.0,66.0,0.21212121212121213,132.0,132.0,4.714285714285714,28,14
14,14,15,65,21,16,15.0,65.0,0.23076923076923078,91.0,91.0,4.333333333333333,28,14
14,14,15,65,24,16,15.0,65.0,0.23076923076923078,104.0,104.0,4.333333333333333,28,14
14,14,15,65,27,16,15.0,65.0,0.23076923076923078,117.0,117.0,4.333333333333333,28,14
14,14,15,65,30,16,15.0,65.0,0.23076923076923078,130.0,130.0,4.333333333333333,28,14
14,14,15,65,33,16,15.0,65.0,0.23076923076923078,143.0,143.0,4.333333333333333,28,14
14,14,16,64,20,16,16.0,64.0,0.25,80.0,80.0,4.0,28,14
14,14,16,64,21,16,16.0,64.0,0.25,84.0,84.0,4.0,28,14
14,14,16,64,22,16,16.0,64.0,0.25,88.0,88.0,4.0,28,14
14,14,16,64,23,16,16.0,64.0,0.25,92.0,92.0,4.0,28,14
